datetime,home_team,away_team,home_goal,away_goal,season,stage,ALVO,Pre_Home_Palmeiras,Pre_Home_Santos,Pre_Home_SaoPaulo,Pre_Home_Corinthians,Pre_Away_Palmeiras,Pre_Away_Santos,Pre_Away_SaoPaulo,Pre_Away_Corinthians,Pre_home_goal,Pre_away_goal
2019-06-13 20:00:00,Atlético,São Paulo,1.0,1.0,2019.0,pontos corridos,1,0,0,0,0,0,0,1,0,0.125,0.14285714285714285
2021-07-25 20:30:00,Sport,Ceará,0.0,0.0,2021.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.0,0.0
2017-09-24 19:00:00,Atlético,Vitória,1.0,3.0,2017.0,pontos corridos,0,0,0,0,0,0,0,0,0,0.125,0.42857142857142855
2017-08-13 16:00:00,Vasco da Gama,Palmeiras,1.0,1.0,2017.0,pontos corridos,1,0,0,0,0,1,0,0,0,0.125,0.14285714285714285
2015-05-06 22:00:00,São Paulo,Cruzeiro,1.0,0.0,2015.0,round of 16,2,0,0,1,0,0,0,0,0,0.125,0.0
2020-12-19 19:00:00,Sport,Grêmio,1.0,1.0,2020.0,pontos corridos,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2015-07-12 16:00:00,Flamengo,Corinthians,0.0,3.0,2015.0,pontos corridos,0,0,0,0,0,0,0,0,1,0.0,0.42857142857142855
2021-06-20 11:00:00,Palmeiras,America,2.0,1.0,2021.0,pontos corridos,2,1,0,0,0,0,0,0,0,0.25,0.14285714285714285
2016-06-12 19:00:00,Santa Cruz,Santos,0.0,2.0,2016.0,pontos corridos,0,0,0,0,0,0,1,0,0,0.0,0.2857142857142857
2020-10-20 21:30:00,Peñarol,Athletico,3.0,2.0,2020.0,group stage,2,0,0,0,0,0,0,0,0,0.375,0.2857142857142857
2021-10-23 19:15:00,Fortaleza,Athletico Paranaense,3.0,0.0,2021.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.375,0.0
2021-02-02 16:00:00,Palmeiras,Botafogo,1.0,1.0,2020.0,pontos corridos,1,1,0,0,0,0,0,0,0,0.125,0.14285714285714285
2021-04-22 23:00:00,Junior de Barranquilla,Ind. Santa Fe,1.0,1.0,2021.0,group stage,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2020-09-20 20:30:00,Sport,Fluminense,1.0,0.0,2020.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2017-05-16 21:00:00,Libertad,Sport Boys,1.0,1.0,2017.0,group stage,1,0,0,0,0,0,0,0,0,0.125,0.14285714285714285
2015-09-09 22:00:00,Corinthians,Grêmio,1.0,1.0,2015.0,pontos corridos,1,0,0,0,1,0,0,0,0,0.125,0.14285714285714285
2013-07-31 19:30:00,Fluminense,Cruzeiro,1.0,0.0,2013.0,pontos corridos,2,0,0,0,0,0,0,0,0,0.125,0.0
2018-05-24 21:30:00,Corinthians,Millonarios,0.0,1.0,2018.0,group stage,0,0,0,0,1,0,0,0,0,0.0,0.14285714285714285
